komentar,komentar_bersih,label_final,alasan_label
bukan pendukung patrik tapi sty juga tidak bagus,dukung patrik sty bagus,negatif,Menilai Patrick dan STY tidak bagus.
Ada 1 pemain buat bisa memperkuat indonesia. Yuran Fernandes cocok sekali di dutin sama idzes loby biar masuk warga indonesia.dan pelatih Tavarez,pemain kuat indonesia yuran fernandes cocok dutin idzes loby biar masuk warga indonesiadan pelatih tavarez,netral,Usulan pemain/coach tanpa emosi kuat.
"Harusnya pelatihnya bu towel, biar langsung ke Final piala dunia.",latih bu towel biar langsung final piala dunia,negatif,Sindiran terhadap Bung Towel sebagai pelatih.
wkwk sial aku tertawa,sial tertawa,netral,"Hanya menyatakan tertawa, tanpa opini jelas."
Masalah nya yg didalam itu pada Sadar ga?,dalam sadar,negatif,Pertanyaan bernada kritik kepada pihak internal.
Maroko gaya permainan bertahan counter attack sampai di babak gugur piala dunia,maroko gaya main tahan counter attack babak gugur piala dunia,netral,"Berisi fakta, pertanyaan, nama, candaan umum, atau pembahasan taktik tanpa emosi sentimen yang jelas."
berani mengambil keputusan harus berani bertanggung jawab,berani ambil putus berani tanggung,negatif,Menuntut tanggung jawab atas keputusan yang diambil.
Setuju banget,tuju,netral,Persetujuan singkat tanpa konteks sentimen jelas.
Jepang: kami tidak pernah meremehkan lawan walaupun rank nya rendah 😂,jepang remeh lawan rank rendah,netral,Mengutip pernyataan Jepang tanpa sentimen langsung.
Trus mau siapa? Menurut gue ada peningkatan sejak ada ET daripada sebelumnya. Yg sebelumnya cuma sarang korupsi doang. Tapi gue agak bimbang si saat STY out.,tingkat et sarang korupsi doang bimbang si sty out,positif,Mengakui ada peningkatan sejak Erick Thohir meskipun bimbang soal STY.
​ @mbonsm3134 kasih kesempatan pak Erik dan petrik sekali lagi untuk menghacurkan timnas di AFC nantik bg.,kasih sempat erik trik menghacurkan timnas afc nantik bg,negatif,Sarkasme terhadap Erick dan Patrick.
Patrick menang double menang taruhan judol dan menang bayaran besar jadi pelatih negeri Konoha 😅😅,patrick menang double menang taruh judol menang bayar pelatih negeri konoha,negatif,Sindiran Patrick menang taruhan dan bayaran besar.
Gus Dur duluh perna bicara indonesia lolos ke piala dunia masi lama,gus dur duluh perna bicara indonesia lolos piala dunia mas,netral,Pernyataan informatif/pendapat umum soal prediksi lama Piala Dunia.
Mantap Bro....,mantap,positif,Memberi apresiasi/persetujuan terhadap pendapat yang disampaikan.
coba lihat pernahkah PK memberikan kemenangan melalui permainan apik kecuali lawan Taiwan karena lawan Taiwan tanpa pelatihpun pasti menang,coba lihat pernah pk menang main apik kecuali lawan taiwan lawan taiwan latih menang,negatif,Kritik terhadap performa PK yang dinilai tidak pernah menang apik.
"Kualitas indonesia sudah baik,,banyak kontroversi untuk menggagalkan indonesia lolos pildun,yang sabar tanah airku di coba lagi untuk kedepannya",kualitas indonesia baikbanyak kontroversi gagal indonesia lolos pildunyang sabar tanah air coba depan,positif,Menilai kualitas Indonesia sudah baik dan mengajak bersabar.
Yg jelas blunder nya PK menurunkan formasi saat lawan AS.,blunder pk turun formasi lawan as,negatif,Menyebut blunder Patrick dalam formasi lawan Arab Saudi.
Min konten kalian bikin air mataku yg terbendung dari kemarin akhirnya jatuh Always dukung garuda 🇮🇩❤️,konten bikin air mata bendung kemarin jatuh always dukung garuda,positif,Mendukung Garuda/Timnas.
Tangis bahagia,tangis bahagia,netral,Ungkapan ambigu tanpa konteks sentimen jelas.
@röckêt_pūñcher1 Apa ada pelatih lain yang bisa membangun dari minus?,pelatih bangun minus,positif,"Berisi dukungan, apresiasi, pembelaan, atau harapan positif terhadap Timnas, pemain, STY, atau pihak terkait."
Hah? Gimana konsepnya. Gagal kok milih,hah gimana konsep gagal milih,netral,Pertanyaan konseptual tanpa sentimen kuat.
"“Lu belum coba P͟U͟L͟A͟U͟W͟I͟N?” Belum, karena gue bahkan gak tau itu apa 😭",coba pulauwin,netral,Komentar Pulauwin tidak relevan.
Menguatkan hati untuk menonton video ini😢😢,kuat hati tonton video,negatif,Ekspresi sedih saat menonton video.
6x laga 6poin gg bangettt,laga poin gg,positif,Menganggap capaian poin/laga sebagai hal bagus.
@AndraWahyu1126 biasain baca sampe akhir,biasain baca sampe,netral,"Komentar instruksi membaca, tidak terkait sentimen Timnas."
"Ini gara"" PSSI salah pilih pengganti sty, yg di pilih pelatih minim taktik dan track record kepelatihannya tidak oke 🤦‍♀️",gara pssi salah pilih ganti sty pilih pelatih minim taktik track record latih oke,negatif,Kritik PSSI salah memilih pengganti STY.
"Lawak ngepuji²STY🤣,lawan china aja di bantai,,lawan bahrain imbang,maen di kandang sendiripun menang cuma 1-0doang,ball posisionnya aja jelek timnas,hoki doang 😂",lawak ngepujistylawan china bantailawan bahrain imbangmaen kandang sendiri menang doangball posisionnya jelek timnashoki doang,negatif,Kritik/sindiran terhadap pujian kepada STY dan performa Timnas.
@rubendias6498 kalu olahraga tradisional itu masuk di bawah naungan kemenpora gak ya? (bertanya dengan nada lembut),kalu olahraga tradisional masuk naung kemenpora ya nada lembut,netral,Pertanyaan informatif.
​ @arifsubrotobsi lha sty lebih banyak jasa nya dari pada kejelekannya.piala asia 2027 sty loh ngelolosin,lha sty jasa kejelekannyapiala asia sty loh ngelolosin,positif,Mengapresiasi jasa STY dan pencapaian Piala Asia.
no 3. Paling Uhuy.... wkwkwk,no uhuy,netral,Komentar bercanda tanpa opini jelas.
"Timnas sudah berada dijalur yg tepat..,hanya saja belum beruntung.,ini bukan sebuah kegagalan namun ini merupakan awal kejayaan di masa mendatang untuk sepakbola indonesia. Tinggal perbaiki yg perlu diperbaiki.,jangan juga saling menyalahkan dan hanya berprasangka buruk terhadap presiden.,pelatih dan pemain.",timnas jalur tepathanya beruntungini gagal jaya sepakbola indonesia tinggal baik diperbaikijangan salah prasangka buruk presidenpelatih pemain,positif,Dukungan bahwa Timnas sudah di jalur tepat dan ini awal kejayaan.
Goodbye piala dunia 2026 dan halo piala dunia 2030 kami menunggumu,goodbye piala dunia halo piala dunia tunggu,positif,Bernada menerima kegagalan 2026 dan menunggu peluang 2030 secara optimis.
Kalian hebat sudah melangkah sampai sejauh ini Bravo team timnas Indonesia❤❤❤,hebat lang bravo team timnas indonesia,positif,Memuji Timnas sudah melangkah jauh.
skr thohir menyesali kegoblokannya yg telah memecat STY,skr thohir sali goblok pecat sty,negatif,Kritik kasar terhadap Thohir karena memecat STY.
Kayaknya nih ＰＵ𝙇𝘼𝙐𝙒𝙄𝙉 lebih viral dari gosip artis minggu ini.,kayak viral gosip artis minggu,netral,Komentar tidak relevan/spam terkait Pulauwin/gosip.
jujur bener banget TIMNAS adalah salah satu kebahagian yang kita miliki sebagai WNI 🎗,jujur bener timnas salah kebahagian milik wni,positif,"Berisi dukungan, apresiasi, pembelaan, atau harapan positif terhadap Timnas, pemain, STY, atau pihak terkait."
"sty itu bukan hanya sekedar pelatih yg melatih para pemain , tapi ibarat guru dan motivator bahkan ikut menjiwai timnas indonesia ,lihat aja waktu kalah dalam pertandingan kualifikasi olimipiade 2024 kemarin , sty sampai marah marah bahkan dikasih kartu merah karena wasitnya berat sebelah",sty dar pelatih latih pemain guru motivator jiwa timnas indonesia lihat kalah tanding kualifikasi olimipiade kemarin sty marah marah kasih kartu merah wasit berat belah,positif,Memberikan apresiasi terhadap peran dan kepedulian STY.
"Penggantinya pelatih timnas, sama bojan hodak bung",ganti pelatih timnas bojan hodak,netral,Memberi usulan nama pelatih pengganti.
"Tetap semangat , dan selalu konsisten. 👍😁",semangat konsisten,positif,Dukungan agar tetap semangat dan konsisten.
Klu yg gk munafik pasti mengakuinya,klu munafik aku,netral,Komentar ambigu tanpa sentimen yang cukup jelas.
ET VS ALL,et vs all,netral,Slogan singkat yang ambigu tanpa opini jelas.
Ngaku aja lah bray kalau Indonesia masih blm bagus permainannya walaupun wasitnya berat sebelah,ngaku bray indonesia blm bagus main wasit berat belah,negatif,Menilai permainan Indonesia belum bagus.
"Alhamdulillah,do,a ku di kabulkan oleh tuhan,,",alhamdulillahdoa ku kabul tuhan,positif,Ekspresi syukur/positif.
"Jangan cari kambing hitam, inilah sepakbola,yg jelas Indonesia sudah memiliki tim sepakbola yg bagus sepadan dengan tim elite dunia hanya perlu waktu dan kerja keras lagi. Lanjutkan.",cari kambing hitam sepakbolayg indonesia milik tim sepakbola bagus padan tim elite dunia kerja keras lanjut,positif,Mengapresiasi kualitas Timnas dan meminta proses dilanjutkan.
“Cuma di P͟U͟L͟A͟U͟W͟I͟N broo” — cuma di mana maksud lo?! 😭,pulauwin broo maksud,netral,Komentar spam/istilah Pulauwin tanpa opini Timnas.
Seandainya sty tidak tunjukan jalan menuju piala dunia mungkin kita tidak se sedih ini. Terima kasih PSSI telah membangunkan kami dari mimpi terbang tinggi.,anda sty tunjuk jalan piala dunia sedih terima kasih pssi bangun mimpi terbang,negatif,Sindiran kepada PSSI karena membangunkan dari mimpi Piala Dunia.
"Kalian luar biasa,, terimakasih atas semangat nya",terimakasih semangat,positif,Mengapresiasi semangat tim.
"Ini adalah sejarah terbaik timnas sejauh ini semoga ke depan lebih baik lagi dalam persiapan dengan amunisi muda yang semakin matang seperti Tim Gypens, Dion Marx, Ivar Jenner, Andrian Wibowo, Miliano Jonathans di kombinasikan pemain yang telah ada saat ini semoga akan membawa timnas ke Piala Dunia dan masuk 4 besar Piala Asia mendatang",sejarah baik timnas moga siap amunisi muda matang tim gypens dion marx ivar jenner andrian wibowo miliano jonathans kombinasi pemain moga bawa timnas piala dunia masuk piala asia,positif,Menyebut sejarah terbaik Timnas dan berharap ke depan lebih baik.
"Mimpi hancur akibat Ganti nahkoda di tengah Pertandingan yg belum usai, dan kalah Saat lawan Australia dan Japan di laga away",mimpi hancur akibat ganti nahkoda tanding kalah lawan australia japan laga away,negatif,Kekecewaan karena mimpi hancur akibat pergantian pelatih.
Takdir.,takdir,netral,Komentar satu kata tanpa sentimen jelas.
Dari ridho kita belajar sabar dan ridho 🤣,ridho ajar sabar ridho,netral,Candaan permainan kata Ridho tanpa opini jelas.
Ternyata prediksi gusdur benar tapi u 17 yg dewasa nunggu dulu,prediksi gusdur dewasa nunggu,netral,"Pernyataan prediksi Gus Dur, netral."
"Padahal inilah generasi terbaik sepanjang masa,sayangnya pelatih beserta jajarannya belum siap untuk go internasional",generasi baik masasayangnya pelatih serta jajar go internasional,negatif,Menganggap pelatih dan jajaran belum siap internasional.
STY yg terbaik,sty baik,positif,Pujian langsung bahwa STY adalah yang terbaik.
infokan nonton dimana gan?,info nonton mana gan,netral,Bertanya tempat menonton.
"Aktingnya Patrick menjiwai banget, pantasan di pertahankan sama si Erick satu profesi banyak bicara pintar akting dan manipulasi.",akting patrick jiwa pantas tahan si erick profesi bicara pintar akting manipulasi,negatif,Mengkritik Patrick dan Erick sebagai manipulatif.
"Misalkan nih ya misalnya sty masih jdi pelatih timnas terus tdk lolos, pasti kalian bilang mending ganti pelatih, salah semua jadi orang Dimata netizen😂",ya sty pelatih timnas lolos bilang mending ganti pelatih salah orang mata netizen,netral,Komentar meta tentang netizen yang selalu menyalahkan pelatih.
"Membuktikan kemampuan sebagai tim nasional tidak gampang,telah di buktikan dgn baik kekurangan dan kelebihan hal biasa yg mesti evaluasi sendiri.",bukti mampu tim nasional gampangtelah bukti kurang lebih mesti evaluasi,netral,Pernyataan evaluatif umum tentang kemampuan tim.
Erick lah sapa lagi,erick sapa,negatif,Menyalahkan Erick Thohir.
"@amekachihasibuan intinya STY terbaik karena mengangkat timnas indonesia ke level tinggi,peringkat naik,aura pemain timnas bgus ada sebagaian klub top eropa memantau.PIALA aff ,,,itu piala tidak disahkan FIFA.Klo mau cari juara terjung di liga tarkam saja",inti sty baik angkat timnas indonesia level tinggiperingkat naikaura pemain timnas bgus bagai klub top eropa memantaupiala aff piala sah fifaklo cari juara jung liga tarkam,positif,Memuji STY yang mengangkat level Timnas Indonesia.
Btul,btul,netral,Persetujuan singkat tanpa konteks sentimen jelas.
Nggak diganti bagaimana wong Patrick klepert nggak becuss wong dia dipecat dari timnas curacao sekarang curracao nggak dilatih patrick klepert lolos ke piala dunia,ganti patrick klepert becuss pecat timnas curacao curracao latih patrick klepert lolos piala dunia,negatif,Kritik keras terhadap Patrick/Kluivert yang dianggap tidak becus.
"​ @SeongJeonHwan dududuh, ini terlalu fakta, dari jaman persib bang ini mah wkwkwk",dududuh fakta jaman persib bang mah,netral,Komentar persetujuan umum tanpa sentimen jelas terhadap Timnas.
"​ @yudhairfiantoro3780 entah, paling dikit lagi klarif tuh yg punya podcast",dikit klarif tuh podcast,netral,Balasan informatif tentang kemungkinan klarifikasi.
"BLUNDER SEWAKTU GANTI PELATIH,,",blunder ganti pelatih,negatif,Menyebut pergantian pelatih sebagai blunder.
"Apapun hasilnya sy tetep mendukung timnas,,untuk kedepan mudah""an timnas belajar dr kesalahan... I❤.....GARUDA",apa hasil sy tetep dukung timnasuntuk depan mudah timnas ajar salah igaruda,positif,Tetap mendukung Timnas dan berharap belajar dari kesalahan.
Adili jokowi,adil jokowi,netral,Komentar politik singkat dan tidak jelas terhadap Timnas.
"Takut iri legacy STY bukan bawahan si Tohir,",takut iri legacy sty bawah si tohir,negatif,Kritik bahwa Tohir takut/iri terhadap legacy STY.
Setahu saya. Target Timnas kita Lolos di Round 4 Tapi kita ada peluang untuk ke Piala Dunia. Fans mungkin salah mengartikan.,tahu target timnas lolos round peluang piala dunia fans salah arti,netral,Klarifikasi target Timnas dan kemungkinan fans salah mengartikan.
Dia menangis karena indo kalah tp dia bahagia karena dpt banyak uang dr negara arab dan saat kembali ke belanda dia bisa berjudi lagi dengan sepuasnya 😂😂,menang indo kalah bahagia dpt uang negara arab belanda judi puas,negatif,Tuduhan negatif tentang uang dan perjudian.
jelas lah jay masih bisa pimpin timnas 5tahun ke depan sedangkan thom haye mungkin ini kesempatan terakhir dia,jay pimpin timnas thom haye sempat,netral,"Berisi fakta, pertanyaan, nama, candaan umum, atau pembahasan taktik tanpa emosi sentimen yang jelas."
ok,ok,netral,Respons singkat tanpa sentimen.
​ @AdiDoank-h8o ga akan maju klo sepak bola di campuri politik..,maju sepak bola campur politik,negatif,"Berisi kritik, kekecewaan, atau sindiran terhadap pelatih, PSSI, Erick Thohir, Patrick/Kluivert, atau kegagalan Timnas."
Bersuaralah terus bg Ferry karena seperti anda punya kapasitas untuk mewakili hati kami yg hanya ojol👃,suara bg ferry kapasitas wakil hati ojol,positif,Mendukung Bung Ferry untuk terus bersuara mewakili publik.
​ @bagoesati6490 Patrick udah dikasih pemain lengkap depan bagus ternyata bapuk ngelatihnya,patrick udah kasih pemain lengkap bagus bapuk ngelatihnya,negatif,Kritik langsung terhadap kemampuan Patrick melatih.
@egiprastha9348 ga ada jaminan melatih 5 thn bs berhasil membangun pondasi yg baik,jamin latih thn bs hasil bangun pondasi,negatif,Meragukan keberhasilan pelatih hanya karena durasi 5 tahun.
Jngn bilang gtu....kita semua psti ingin lolos pildun hanya blm wktunya saja. Kita lihat sama2 semua pemain kerja keras berjuang temsuk pssi dan pelatih!,jngn bilang gtukita psti lolos pildun blm wktunya lihat pemain kerja keras juang temsuk pssi pelatih,positif,"Menekankan perjuangan pemain, PSSI, dan pelatih."
Udah jgn bersedih. Terus d jaga tim ini k depanya..,udah jgn sedih jaga tim depa,positif,Dukungan agar tidak bersedih dan menjaga tim.
"Kalo gak ada erik, gak mungkin banyak naturalisasi bagus kayak skarang",kalo erik naturalisasi bagus skarang,positif,Mengapresiasi peran Erick dalam naturalisasi.
tetap bersatu,satu,positif,Ajakan tetap bersatu.
Coba line up Indonesia pas lawan Arab Saudi kayak lawan Irak pasti lain ceritax,coba line up indonesia lawan arab saudi lawan irak ceritax,netral,Analisis hipotetis susunan pemain tanpa emosi kuat.
"Bang bender aja,, kayaknya pintar,,",bang bender kayak pintar,positif,Memberi pujian kepada Bung Binder karena dianggap pintar.
"​ @alfinnia274 klo aku pemilihan pemain full dipegang kendali tim pelatih, pssi boleh menyarankan, tapi tidak boleh mengharuskan pemain lokal jumlahnya segini masuk ke timnas, biar pelatih yang dengan kendali penuh untuk pemilihan pemain yng dibawa mau full naturalisasi pun juga gk masalah, dari pada dipaksa bawa lokal tapi angin""an",pilih pemain full pegang kendali tim pelatih pssi saran harus pemain lokal gin masuk timnas biar pelatih kendali penuh pilih pemain yng bawa full naturalisasi paksa bawa lokal angin,netral,Memberi usulan teknis pemilihan pemain oleh tim pelatih.
"Cukup sudah kesempatan patrick, kami sudah cukup melihat dan menilai kemampuan kepelatihannya.. Semoga ada lembaran baru untuk Timnas!!!",sempat patrick nilai mampu latih moga lembar timnas,negatif,Mengkritik kesempatan Patrick dan berharap lembaran baru untuk Timnas.
STY baru juga dipecat di ulsan,sty pecat ulsan,netral,Pernyataan faktual tentang STY tanpa sentimen kuat.
Sombong kale macam udah kayak negara langganan pildun nyuruh ketua federasi mundur gara2 g lolos pildun Udah lupa lo kaya apa lvl timnas sebelum et jadi ketum? Et mundur lvl timnas balik lagu jadi dibawah vietnam baru tau kau,sombong kale udah negara langgan pildun nyuruh ketua federasi mundur gara lolos pildun udah lupa kaya lvl timnas et tum et mundur lvl timnas lagu bawah vietnam kau,positif,Membela Erick dan menilai Timnas lebih baik sejak era ET.
saya ndk mau gagal dua duanya sih wkwkwkwk,ndk gagal dua wkwkwkwk,netral,"Menolak memilih gagal dengan siapa pun, tanpa sentimen dominan."
Emang kalian lebih baik dari Erik Tohir?????,emang erik tohir,positif,Membela/menantang kritik terhadap Erik Tohir.
Kebanyakan masyarakat ekspektasi terlalu tinggi dan w dah curiga dari awal kualifikasi round indo ga bakal lolos,banyak masyarakat ekspektasi dah curiga kualifikasi round indo lolos,negatif,Mengungkapkan ekspektasi terlalu tinggi dan pesimisme lolos.
​ @oomraden201 ga tahu bola diam saja pakai dasinya dikantor jgn ke bola,bola diam pakai dasi kantor jgn bola,negatif,Berisi sindiran/kritik terhadap orang yang dianggap tidak paham bola.
wkwk coba cek kpn sty menang lawan irak,coba cek kpn sty menang lawan irak,negatif,Kritik terhadap catatan STY dalam debat komentar.
Tanggung padahal mah sekalian ambil pelatih kepala luis van gaal kalo mau bermain total football,tanggung mah ambil pelatih kepala luis van gaal kalo main total football,netral,Saran pelatih tanpa emosi jelas.
"intinya pokoknya sudah CAIRRRRRR......buat ytta ya😅 kondisinya mirip banget kok sama pas Piala AFF 2010 lalu saat timnas sudah diambang juara tiba2 ""U know lah...""",inti pokok cairrrrrrbuat ytta ya kondisi piala aff timnas ambang juara know,negatif,Sindiran adanya kepentingan uang/mafia seperti pengalaman sebelumnya.
Yo so pasti loncat loncat,yo so loncat loncat,netral,Komentar bercanda tanpa sentimen jelas.
"“STY mengubah mimpi menjadi harapan ke piala dunia, KLUIVERT mengubah harapan menjadi mimpi ke piala dunia”",sty ubah mimpi harap piala dunia kluivert ubah harap mimpi piala dunia,negatif,Kritik terhadap Kluivert yang mengubah harapan menjadi mimpi.
"Alhamdulillah sesuai doa dan harapan saya, indo Nungsep seeep jangan timbul lagi",alhamdulillah sesuai doa harap indo nungsep seeep timbul,negatif,Sarkasme/berharap Indonesia terpuruk.
Faktanya PSSI lah yg blunder 😂😂😂😂 chanel kocak,fakta pssi blunder chanel kocak,negatif,Menyebut PSSI blunder.
​@wigand5964kok ngamuk mas,ngamuk mas,netral,Hanya menanggapi orang lain tanpa sentimen jelas terhadap Timnas.
Udah gagal si Patrick cuma bisa pukul2 bangku kosong 😅😂,udah gagal si patrick bangku kosong,negatif,Menyindir Patrick karena gagal.
"Dear pemain lokal timnas, Ketahuilah bahwa ada ribuan pemain lokal tanah air yg bermimpi ingin tampil membela timnas tetapi belum dapat kesempatan. Skill pemain lokal ini juga gak kalah bagus dgn mu, tetapi tuhan menadirkan kalian lah yang punya kesempatan untuk membela timnas. Jadi tolong, jangan di sia siakan kesempatan membela timnas, bermainlah habis habisan, kerahkan semua tenaga, akal fikiran dan hati untuk bisa menang. Ingat dan sadarlah, bahwa Sepakbola itu bukan hanya menendang dan menyundul bola... Tetapi ada hal lain yg anda harus lakukan seperti anda harus melakukan drama, lalukan diving, ulur waktu, provokasi lawan, pancing emosi lakukan dengan solid karena itu juga bagian dari sepakbola. Sadarilah bahwa bisa saja, anda adalah generasi terakhir dari pemain lokal yang sempat membela timnas saat ini. Kedepan kita tidak tahu apa masih ada pemain kelahiran tanah air yg memakai jersey timnas di tengah lapangan. Bisa saja anda dan kami semua hanya duduk di bangku penonton menyaksikan pirang pirang bermain. Maju terus timnas... juara lebih penting atau timnas yg lebih penting.",dear pemain lokal timnas tahu ribu pemain lokal tanah air mimpi tampil bela timnas sempat skill pemain lokal kalah bagus mu tuhan nadir sempat bela timnas tolong sia sia sempat bela timnas main habis habis kerah tenaga akal fikiran hati menang sadar sepakbola tendang sundul bola laku drama lalu diving ulur provokasi lawan pancing emosi laku solid sepakbola sadar generasi pemain lokal bela timnas depan pemain lahir tanah air pakai jersey timnas lapang duduk bangku tonton saksi pirang pirang main maju timnas juara timnas,positif,Dukungan dan motivasi untuk pemain lokal serta Timnas.
Riki ridho hebat😊,riki ridho hebat,positif,Pujian kepada Rizky Ridho.
"coba saja tim ini diturunkan saat melawan Arab Saudi pasti ceritanya berbeda, dan disaat melawan Irak ini mereka bermain pasti lebih enjoy lagi itu fakta dari peluang peluang yang ada",coba tim turun lawan arab saudi cerita beda saat lawan irak main enjoy fakta peluang peluang,netral,Analisis hipotetis susunan pemain dan peluang.
"bener bg, kecewa banget sama pelatih ini. pdhl STY ud byk kontribusi bersama timnas hadeh",bener bg kecewa pelatih pdhl sty ud byk kontribusi timnas hadeh,negatif,Menyatakan kecewa terhadap pelatih saat ini.
Mengharumkan nama bangsa apa?,harum nama bangsa,netral,Pertanyaan netral.
Gua lebih iklas kalau gugurnya sama pelatih yg ga bisa pake bahasa Inggris,iklas gugur pelatih pake bahasa inggris,negatif,Sindiran terhadap kegagalan dan perbandingan pelatih.
Berharap kerangka Tim dan staff kepelatihan tidak diubah karena dari segi teknik dan manajerial sudah yg terbaik Tetapi untuk pelatih kepala mungkin biar federasi PSSI yg memutuskan apakah diganti atau tidak. We proud of national team🇮🇩,harap kerangka tim staff latih ubah segi teknik manajerial baik pelatih kepala biar federasi pssi putus ganti we proud of national team,positif,Dukungan dan rasa bangga kepada Timnas.
​ @bayusetio3920 terima kasih buat toel,terima kasih toel,netral,Ucapan terima kasih singkat tanpa konteks jelas.
"Coba cari pelatih di korasia, atau jerman pasti cocok",coba cari pelatih korasia jerman cocok,netral,Usulan mencari pelatih dari Kroasia/Jerman tanpa emosi jelas.
​ @hanspurba1027 Iwan bule bang..,iwan bule bang,netral,"Berisi fakta, pertanyaan, nama, candaan umum, atau pembahasan taktik tanpa emosi sentimen yang jelas."
Sty lawan bahrain menang itu😂 tp dicurangin😂,sty lawan bahrain menang dicurangin,negatif,Keluhan/dugaan dicurangi saat STY melawan Bahrain.
Fokus ke futsal aja😂,fokus futsal,negatif,Sindiran agar fokus ke futsal.
"​ @وطني-ث2ح faktanya kita lawan jepang emg ga pernah menang, dan jepang terkuat di asia. Gausah bandingin yg diluar zona kita dulu, di asia aja kita bukan salah satu yg kuat",fakta lawan jepang emg menang jepang kuat asia gausah bandingin luar zona asia salah kuat,negatif,Menilai Indonesia belum kuat bahkan di Asia.
"Kesalahan terbesar timnas Indonesia: memecat STY, memilih pelatih non pengalaman, dll 🤔🤔🤔 sampe kiamat pun sepakbola Indonesia g akan maju 🤔🤔🤔",salah besar timnas indonesia pecat sty pilih pelatih non alam dll sampe kiamat sepakbola indonesia maju,negatif,"Mengkritik pemecatan STY dan pilihan pelatih, serta pesimis terhadap sepak bola Indonesia."
Sebagai Fans Kita hanya bisa memberikan support bayangkan pemain seperti Tom Kevin yg usia mereka tidak.mudah Lagi Ini Mungkin jadi akhir sudah berkorban pinda negara tapi Gagal respek buat pemain timnas,fans support bayang pemain tom kevin usia tidakmudah korban pinda negara gagal respek pemain timnas,positif,Memberi support dan respek kepada pemain Timnas.
Gua inget kata Jay di akhir podcast tom Haye walaupun besok kita kalah sama Irak n ga masuk pildun kita masih bisa tatap mata saling tegur sapa itulah supporter Indonesia ❤ dan gua akan terus nonton Jay di liga Itali verdonk di liga Prancis diks di Jerman dan semuanya terimakasih sudah berjuang bisa membawa Indonesia sejauh ini yg menunggu bertahun tahun n memulai dari nol terimakasih Jay El Capitano Indonesia bangga punya Jay n semua pahlawan timnas Indonesia ❤,inget jay podcast tom haye besok kalah irak masuk pildun tatap mata tegur sapa supporter indonesia nonton jay liga itali verdonk liga prancis diks jerman terimakasih juang bawa indonesia tunggu tahun nol terimakasih jay el capitano indonesia bangga jay pahlawan timnas indonesia,positif,Memberi dukungan kepada pemain dan tetap mengapresiasi perjuangan Timnas.
"mantap Patrik kluvert, apapun hasil nya aku bangga padamu",mantap patrik kluvert apa hasil bangga pada,positif,Menyatakan bangga kepada Patrick.
"Kami rakyat jecil juga ikut komentar ,ibarat kita punya ladang atau yg samgat subur tapi penggarapanya ecek2,hasilnya tetep tdk maksimal🙏🙏🙏",rakyat jecil komentar ladang samgat subur penggarapanya ecek hasil tetep maksimal,negatif,Mengkritik pengelolaan potensi Timnas yang dianggap tidak maksimal.
Setiap kejuaraan pasti ada yg kalah dan yg menang...klu blom bisa menerima kedua nya .. jangan ikut.. karena penonton atau Pandit lebih pintar dari pemain dan pelatih... Sadar donk negara lain juga mempersiapkan diri dgn baik... Juga pemain dari negara lain hebat2 tak kalah dgn negara kita..,juara kalah menangklu blom terima tonton pandit pintar pemain pelatih sadar donk negara pemain negara hebat kalah negara,netral,"Komentar nasihat umum tentang kalah-menang, relatif informatif."
Apalagi dengan pelatih non pengalaman macam PK 😅,pelatih non alam pk,negatif,Mengkritik Patrick sebagai pelatih minim pengalaman.
Indonesia main sudah cukup bagus ...mungkin belum rezeki Indonesia belum di beri kesempatan main di Piala Dunia. Pemain sudah bermain baik dan kualitas mereka baik. Mungkin perlu di evaluasi hanya tim pelatih.. untuk meningkatkan strategi kedepan.,indonesia main bagus rezeki indonesia sempat main piala dunia pemain main kualitas evaluasi tim pelatih tingkat strategi depan,positif,Menilai permainan bagus dan pemain berkualitas.
Towel aja suruh gabung timnas,towel suruh gabung timnas,netral,Komentar bercanda/usulan tanpa sentimen jelas.
"Meskipun gagal lolos piala dunia, FAKTANYA adalah PSSI dg ketum erik tohir serta pemain² timnas secara keseluruhan masih jauh lbh baik dari era sebelum²nya, sudah berproses dg usaha maximal dg bertujuan mndapatkan hasil yg lbh baik. Jadi harus tetap selalu mendukung dg dukungan positif baik disaat menang maupun kalah, hanya org² yg over dosis SDM rendah parah yg sllu mencaci maki & tebar keburukan tapi berharap hasil kebaikan instan.",gagal lolos piala dunia fakta pssi dg tum erik tohir pemain timnas lbh era proses dg usaha maximal dg tuju mndapatkan hasil lbh dukung dg dukung positif saat menang kalah orang over dosis sdm rendah parah sllu caci maki tebar keburu harap hasil baik instan,positif,Mendukung PSSI/Timnas dan mengajak dukungan positif.
"Dulu jaman sty dia rela d kartu biar sty GK d kartu wasit,skrg beliau bnr2 kesal dan dpt kartu lg",jaman sty rela kartu biar sty kartu wasitskrg beliau bnr kesal dpt kartu lg,negatif,Membandingkan era STY dengan kondisi sekarang secara kecewa.
"Hebat Sty, bisa menarik mereka semua untuk main di Indonesia, sayang Sty dipecat ditengah jalan",hebat sty tarik main indonesia sayang sty pecat tengah jalan,negatif,Memuji STY namun menyesalkan pemecatannya di tengah jalan.
